premise,hypothesis,true_label,predicted_label,word_overlap,categories,has_negation
"Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.",Two kids in jackets walk to school.,contradiction,neutral,28.57%,other,False
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and falls on her head.,contradiction,neutral,50.00%,other,False
Families waiting in line at an amusement park for their turn to ride.,People are waiting to see a movie.,contradiction,neutral,28.57%,other,False
"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is in front of a camera,neutral,entailment,42.86%,false_entailment,False
A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,They both fall to the ground.,neutral,contradiction,16.67%,low_overlap,False
"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",A man is chasing an SUV that is going in the same direction as him.,contradiction,neutral,50.00%,long_hypothesis,False
"A taxi SUV drives past an urban construction site, as a man walks down the street in the other direction.",An SUV and a man are going in opposite directions.,entailment,contradiction,50.00%,false_contradiction,False
The two farmers are working on a piece of John Deere equipment.,2 Men are making a pool together,contradiction,neutral,28.57%,other,False
"Two black little boys hanging over an upside down bicycle, one examining the pedal.",the children are outside.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
"Two black little boys hanging over an upside down bicycle, one examining the pedal.",Someone is riding a bike.,contradiction,entailment,0.00%,"low_overlap, missed_contradiction",False
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background.,The dogs are swimming among the boats.,entailment,neutral,33.33%,missed_entailment,False
A group of people prepare hot air balloons for takeoff.,There are hot air balloons on the ground and air.,neutral,entailment,30.00%,false_entailment,False
A group of young people with instruments are on stage.,People are playing music.,neutral,entailment,50.00%,"short_hypothesis, false_entailment",False
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The boy is outside and running from cops.,neutral,contradiction,25.00%,other,False
A woman is talking on the phone while standing next to a dog.,A woman is walking her dog.,neutral,contradiction,66.67%,other,False
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boys are all wearing yellow.,neutral,contradiction,66.67%,"negation, quantifier",True
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boy is crouching down to take a picture.,neutral,contradiction,22.22%,"negation, quantifier",True
Two men playing baseball with the one in the black and red jersey running toward base.,There is a baseball game going on.,entailment,neutral,14.29%,"low_overlap, missed_entailment",False
A man and a woman are looking at produce on display.,A man and women are staring at heads of lettuce.,neutral,contradiction,50.00%,other,False
People are throwing tomatoes at each other.,The people are having a food fight.,entailment,neutral,28.57%,"quantifier, missed_entailment",False
A small ice cream stand with two people standing near it.,Two people selling ice cream from a car.,contradiction,neutral,62.50%,other,False
Number 916 is hoping that he is going to win the race.,A person is betting that he will win  the race.,neutral,entailment,60.00%,false_entailment,False
Girl plays with colorful letters on the floor.,The girl is having fun learning her letters.,entailment,neutral,25.00%,missed_entailment,False
A man wandering in the desert as the clouds roll in.,A man wonders in the desert.,entailment,neutral,66.67%,missed_entailment,False
A lady with bright orange hair walking in a crowd.,The street performer is entertaining the tourists.,contradiction,neutral,0.00%,low_overlap,False
A man running a marathon talks to his friend.,A man and his friend are running a marathon together.,neutral,entailment,55.56%,false_entailment,False
A group of people sit on benches at a park outside a building.,The people sit together.,neutral,entailment,50.00%,"short_hypothesis, false_entailment",False
Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player passing the ball in a soccer game.,contradiction,entailment,62.50%,missed_contradiction,False
Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player trying to score in a soccer game.,entailment,neutral,37.50%,missed_entailment,False
This is the image of two Asian men squatting near a mop-pad.,Two young asian men are squatting.,entailment,neutral,50.00%,missed_entailment,False
An older gentleman speaking at a podium.,A man giving a speech,neutral,entailment,25.00%,false_entailment,False
A man is a safety suit walking outside while another man in a dark suit walks into a building.,Men are walking  in different directions.,entailment,contradiction,33.33%,"negation, false_contradiction",True
A man poses for a photo in front of a Chinese building by jumping.,The man has experience in taking photos.,neutral,entailment,28.57%,false_entailment,False
A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A light black late model station wagon is in the background.,entailment,neutral,81.82%,"high_overlap, missed_entailment",False
A boy in red slides down an inflatable ride.,A boy rolls around an inflatable ride.,neutral,entailment,71.43%,"high_overlap, false_entailment",False
two people are waiting for a train at a station.,They expect a train to arrive eventually.,entailment,neutral,28.57%,missed_entailment,False
"Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",The men are wearing pants.,contradiction,entailment,60.00%,missed_contradiction,False
A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a kid skateboarding and a bearded man on a bike.,contradiction,entailment,40.00%,missed_contradiction,False
Two female workers sit on some steps during work.,Two friends sitting on step at their job.,entailment,neutral,25.00%,"quantifier, missed_entailment",False
Two boys stand in an ocean as the sun sets.,The boys are surfing,neutral,contradiction,50.00%,short_hypothesis,False
Group yoga class exercising.,A group of people holding various positions for a period of time.,neutral,entailment,10.00%,"low_overlap, false_entailment",False
A child is looking out of a door.,The door is open.,neutral,contradiction,25.00%,short_hypothesis,False
A boy in a baseball cap jumps over a flight of stairs.,A guy inside.,neutral,entailment,33.33%,"short_hypothesis, false_entailment",False
A woman is using clothespins to hang up laundry outside on a laundry line.,A woman is folding her washed laundry.,contradiction,neutral,42.86%,other,False
Four young men sit on the floor close to a television that is showing Elmo from Sesame Street.,Four males are sitting indoors.,entailment,contradiction,20.00%,false_contradiction,False
Four young men sit on the floor close to a television that is showing Elmo from Sesame Street.,Four males are sitting indoors because it's raining.,neutral,contradiction,12.50%,low_overlap,False
"Dinner and decisions, with the crew.",the crew was celebrating a birthday,neutral,contradiction,16.67%,low_overlap,False
"This mother and her daughter and granddaughter are having car trouble, and the poor little girl looks hot out in the heat.",The car that belongs to the family is having issues.,entailment,neutral,33.33%,missed_entailment,False
"A woman holds her child out of a red window, next to a Color TV sign.",The TV holds a woman who holds a child.,contradiction,entailment,57.14%,missed_contradiction,False
A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,A fruit market is selling vegetables,entailment,neutral,66.67%,"quantifier, missed_entailment",False
A teenage girl in winter clothes slides down a decline in a red sled.,A girl is by herself on a sled.,entailment,neutral,42.86%,missed_entailment,False
Three children dressed in winter clothes are walking through the woods while pushing cargo along.,Three children are dressed in warm winter clothes.,entailment,neutral,75.00%,"high_overlap, missed_entailment",False
A man is sitting outside wearing blue pants.,The person is on the ground.,neutral,entailment,20.00%,false_entailment,False
Two players are on a wet field and one is on the ground.,There are only two people in the field.,entailment,contradiction,37.50%,false_contradiction,False
Five people are sitting on horses at a rodeo.,Bandits are sitting on horses as they prepare for a robbery.,contradiction,neutral,45.45%,other,False
An indian man walks past a temple on his way to pray.,A man is heading to his house of worship.,entailment,neutral,44.44%,missed_entailment,False
A man in a green Celtic sleeveless jersey shirt and short stone washed jean shorts sitting and eating.,The man is wearing a Cowboys jersey.,contradiction,neutral,28.57%,other,False
